frame,u1_0_u2_0_b_0,std_u1_0_u2_0_b_0
-0.031415926535897934,1.0,0.0
-0.0312900109986799,1.0,0.0
-0.03116409546146188,1.0,0.0
-0.03103817992424385,1.0,0.0
-0.030912264387025823,1.0,0.0
-0.030786348849807795,1.0,0.0
-0.030660433312589767,1.0,0.0
-0.03053451777537174,1.0,0.0
-0.030408602238153712,1.0,0.0
-0.030282686700935684,1.0,0.0
-0.030156771163717656,1.0,0.0
-0.03003085562649963,1.0,0.0
-0.0299049400892816,1.0,0.0
-0.029779024552063573,1.0,0.0
-0.029653109014845545,1.0,0.0
-0.029527193477627518,1.0,0.0
-0.02940127794040949,1.0,0.0
-0.029275362403191462,1.0,0.0
-0.029149446865973434,1.0,0.0
-0.029023531328755407,1.0,0.0
-0.02889761579153738,1.0,0.0
-0.02877170025431935,1.0,0.0
-0.028645784717101323,1.0,0.0
-0.028519869179883296,1.0,0.0
-0.028393953642665268,1.0,0.0
-0.02826803810544724,1.0,0.0
-0.028142122568229212,1.0,0.0
-0.028016207031011185,1.0,0.0
-0.027890291493793157,1.0,0.0
-0.02776437595657513,1.0,0.0
-0.0276384604193571,1.0,0.0
-0.027512544882139073,1.0,0.0
-0.027386629344921046,1.0,0.0
-0.027260713807703018,1.0,0.0
-0.02713479827048499,1.0,0.0
-0.027008882733266962,1.0,0.0
-0.026882967196048935,1.0,0.0
-0.026757051658830907,1.0,0.0
-0.02663113612161288,1.0,0.0
-0.02650522058439485,1.0,0.0
-0.026379305047176824,1.0,0.0
-0.026253389509958796,1.0,0.0
-0.026127473972740768,1.0,0.0
-0.02600155843552274,1.0,0.0
-0.025875642898304713,1.0,0.0
-0.025749727361086685,1.0,0.0
-0.025623811823868657,1.0,0.0
-0.02549789628665063,1.0,0.0
-0.0253719807494326,1.0,0.0
-0.02524606521221457,1.0,0.0
-0.025120149674996546,1.0,0.0
-0.024994234137778515,1.0,0.0
-0.02486831860056049,1.0,0.0
-0.02474240306334246,1.0,0.0
-0.024616487526124435,1.0,0.0
-0.024490571988906404,1.0,0.0
-0.02436465645168838,1.0,0.0
-0.02423874091447035,1.0,0.0
-0.024112825377252324,1.0,0.0
-0.023986909840034293,1.0,0.0
-0.02386099430281627,1.0,0.0
-0.023735078765598237,1.0,0.0
-0.023609163228380213,1.0,0.0
-0.023483247691162182,0.9999583333333334,0.0003703414340548122
-0.023357332153944158,0.9996666666666669,0.0009999999999999898
-0.023231416616726126,0.9994166666666671,0.001371839802762853
-0.023105501079508102,0.9991250000000005,0.0015584670174387427
-0.02297958554229007,0.9985000000000006,0.0020344259359556098
-0.022853670005072046,0.9976666666666671,0.0026562295750848686
-0.022727754467854015,0.9965416666666675,0.0033517719194479886
