phase,flux,flux_white,model,model_fit
-0.7496913874392543,1.2741283000000001e-05,0.25730962,0.17961372,0.0
-0.7492087186773575,-0.00043117165,-1.3154139999999999,0.043265983,0.0
-0.7488205126219009,-4.6346424e-05,-0.13612105,-0.03784985,0.0
-0.7477175656012711,-0.00037385107,-1.0075077,0.2642041,0.0
-0.7463920962003052,0.00017321247,0.57772946,-0.055536617,0.0
-0.7462685237926109,0.0003420125,1.5299339,0.26278216,0.0
-0.7461333305160369,-9.430109000000001e-05,-0.14422446,0.0009889966,0.0
-0.7457737739294035,-0.0005207046,-1.3577409,0.077471144,0.0
-0.7451800740935541,7.910878e-05,0.5003652,0.0013686344,0.0
-0.7448591770311155,-0.00010845392,-0.42757553,0.06365312,0.0
-0.7443503900787656,-2.139339e-06,-0.025503618999999998,0.1713391,0.0
-0.7432881736282695,-0.00021439470000000002,-2.246428,0.03550535,0.0
-0.7420010185771753,-0.00035090059999999995,-1.1720023000000002,-0.032736987,0.0
-0.7415328471368516,-0.00047175828000000004,-1.0904267,0.04948255,0.0
-0.7412132157135978,-0.00028612325000000003,-1.6983150000000002,-0.09119217,0.0
-0.7406617422032828,-3.3945955e-05,-0.39176786,0.00511888,0.0
-0.7405034222470563,-0.00012420178,-0.6370703000000001,-0.063996345,0.0
-0.7398737092234899,0.0002435218,1.0207891,0.09666253,0.0
-0.7388517631106968,-0.00029738242,-1.1119266,-0.043352097,0.0
-0.7376032675837976,-0.00029163942,-0.8918345,0.13305669,0.0
-0.7369253452130953,0.00021099995,1.003971,-0.29194757,0.0
-0.7366460991856523,0.00013600247999999998,0.9305093000000001,0.27302954,0.0
-0.736141569383288,9.847625e-05,0.6497497,0.11012044,0.0
-0.7361357014197942,-3.0308796000000013e-05,-0.66118944,-0.060122166,0.0
-0.7353889743006736,-9.305721e-05,-0.44470249999999995,0.057803985,0.0
-0.734408334048553,-1.4722339e-07,0.24709997,-0.033336345,0.0
-0.7331989582782794,-0.00012008368999999999,-0.5616582,0.18357328,0.0
-0.7323109398028755,-5.9209535e-05,0.13811729999999994,-0.06228756,0.0
-0.7320710436482736,-0.00024876185000000003,-0.9709863000000001,0.16197544,0.0
-0.7317737334979182,7.8404344e-05,0.55435926,0.32972074,0.0
-0.7316022969174112,0.00020013335,0.587242,-0.06006531,0.0
-0.7308976810657173,-5.8935657e-06,-0.066864155,0.17787014,0.0
-0.7301491130168734,0.00033052108,1.2319728,-0.13565925,0.0
-0.7299581165580535,-0.0001570895,-0.28561175,0.03238784,0.0
-0.7287879756025135,-6.877826999999999e-05,-0.02965505,0.48326975,0.0
-0.7276898610224078,6.285056e-05,0.99862766,0.1128808,0.0
-0.7274896599149703,-0.00010383955,-0.10059760000000001,0.14614071,0.0
-0.7273996844747309,-2.0125683e-05,0.29014343,0.37017232,0.0
-0.7270616437542416,-0.000114612056,-0.020008702,0.08091050400000001,0.0
-0.7263990241118665,1.8553561e-05,0.52702844,0.29426646,0.0
-0.7258090061354645,-5.6658623e-06,0.09324537,-0.044707634,0.0
-0.7255004202905522,0.00013537402,0.312752,-0.07945989,0.0
-0.724370089440284,0.00035210330000000003,2.5442553,0.42678299999999997,0.0
-0.7230622239297999,-0.00036902397000000003,-0.9786077,0.089101575,0.0
-0.7230193072556195,1.9487702999999998e-05,0.37626478,0.08513217,0.0
-0.7229007974046651,-0.00014458656,-0.96824634,-0.051405877,0.0
-0.7225135118140702,0.00010960263,0.67903477,0.07325732,0.0
-0.7218926582647984,6.9821464e-05,0.8400903000000001,0.17576402,0.0
-0.721462571058131,0.0002290923,0.6436768,0.04866844,0.0
-0.7199457600240222,2.2442411e-05,0.44801545,0.096003294,0.0
-0.7186324867824752,-1.2396545e-06,-0.52024376,0.029158454,0.0
-0.7184279134669442,6.9529175e-05,1.0783768999999999,0.41109267,0.0
-0.7183049163497885,0.00012677214,0.8374851000000001,0.13280095,0.0
-0.7179585914455431,-0.00036056372000000016,-1.6978499,0.028151423,0.0
-0.7173789286988361,-0.00017246386,-0.26866975,0.068160444,0.0
-0.7171110734240576,6.680732e-06,0.7331404,0.024918811000000003,0.0
-0.7165629365988666,7.122188e-05,0.7486734,0.13057674,0.0
-0.7155136066564354,-6.885451e-05,-0.5628469,0.12886313,0.0
-0.7142392230552985,7.894238e-06,0.017944617,-0.0096970275,0.0
-0.7137020167503412,0.00036040635000000003,1.8488077,-0.08603025,0.0
-0.7133959621837986,0.0002649927,0.8685298,0.08878951,0.0
-0.7128578354139794,5.0545565e-05,0.29708606,0.0016271229,0.0
-0.7127533626521672,3.9425668000000003e-05,0.9634919,0.076100476,0.0
-0.7120834943490055,0.0001710521,0.7556396,0.15833306,0.0
-0.7110753552091391,-0.00017817518,-0.8149693,-0.011686189,0.0
-0.7098394010159816,-0.00024709404999999997,-1.3723493,0.15957433,0.0
-0.7090923287225379,-0.00020972467999999997,-0.6546214,-0.3467915,0.0
-0.7088261993193754,-0.00010211502399999999,-0.18620948,0.46631715,0.0
-0.7083895538005676,-7.976024e-05,0.18637681,0.1733947,0.0
-0.7083293784102287,-6.243331e-05,-0.9305178,-0.17927915,0.0
-0.7075971486126813,-1.990851e-05,-0.06840252,0.13405060000000002,0.0
-0.7066291647524099,-0.00016037216,-0.1617013,-0.07453993,0.0
-0.7054327905483091,3.9871396e-05,0.005013613,0.31673902,0.0
-0.7044757372082715,0.0005972457,2.249988,0.0007366292999999999,0.0
-0.7042491877941655,0.0001962643,1.1361941,0.07793387,0.0
-0.7040196468692586,-8.174678000000001e-05,0.024998149,0.4150934,0.0
-0.7037935576875836,-0.0005110223000000001,-1.7883966,0.018659098,0.0
-0.7031029789250318,0.00023499507000000001,0.75096434,0.18569411,0.0
-0.7024059569084475,7.920685e-06,-0.0052361246,-0.062430017000000004,0.0
-0.7021766460997559,-0.0003000323,-0.89189154,0.056904647,0.0
-0.7010199669428197,-9.721288000000001e-05,-0.19355617,0.42444659999999995,0.0
-0.6998524723237571,3.215417e-05,0.36752716,0.10210792,0.0
-0.6996650426662767,0.0002812886,0.97512877,0.09466102,0.0
-0.6996435268001326,-1.1419347e-05,-0.008483,0.22740974,0.0
-0.6992503732460442,0.00014478767,1.3976386,0.13031884,0.0
-0.6986015605765956,-0.0005195472,-2.9803572,0.13607629999999998,0.0
-0.6980641241554228,9.8320015e-05,0.3191434,0.061313115,0.0
-0.6977165336119926,-0.00018831916,0.040630482,-0.016723327,0.0
-0.6965994344441127,0.00034362546,1.3541913,0.33273545,0.0
-0.6952610785350819,-0.00023314165,-0.5929423,0.058506887,0.0
-0.6952225340689948,0.00024738826,1.050301,0.24803731,0.0
-0.6950738789938171,8.269196e-06,-0.24394144,0.026917195,0.0
-0.694700400376149,0.00061461225,2.0433848,-0.033900335,0.0
-0.6940927785092654,-5.284775400000001e-06,0.91506755,0.1966806,0.0
-0.6937157330902581,0.00012809167999999998,-0.101945475,0.07915961,0.0
-0.6921728038656962,-0.0006203049,-1.8897262,0.05027765,0.0
-0.6908721870159986,0.00031181367,0.6097753,0.0055854614,0.0
-0.6904756967767862,-9.882961e-06,0.06046893,0.0994643,0.0
-0.6901422583806058,0.00032947343,0.95450205,-0.021791067,0.0
-0.6895766327230408,0.0002900902,1.2532299,0.013150253,0.0
-0.6893623945264611,-0.00011009318000000004,0.022080334,0.16096453,0.0
-0.6887746777122135,-0.00016867627000000001,-0.20780186,0.17020851,0.0
-0.6877384643940627,-4.7551239999999996e-05,-0.1722779,-0.030887904,0.0
-0.6864767371847753,-0.0002764747,-0.7665021,0.12623917,0.0
-0.6858704960151842,-2.7553146e-05,-0.26287009999999994,-0.12712458,0.0
-0.6855776731310299,0.00014028492,0.7955135,0.13369133,0.0
-0.685053123217922,-0.00016831598,-0.5025729,-0.05043853,0.0
-0.6850026127086317,0.0001974461,0.7721195,0.07290437,0.0
-0.6842928192420903,-4.744313e-05,-0.13709466,0.02706617,0.0
-0.6832977967265041,0.0004707184,1.6663622,-0.03507527,0.0
-0.6820746139833039,8.1157545e-05,0.6655937,0.100647844,0.0
-0.6812585068252268,6.221411999999999e-05,0.20940451,0.07260464,0.0
-0.6810054940463444,8.917326999999999e-05,0.80209583,0.38430595,0.0
-0.6806368478692009,-0.0002267719,-0.8679843,0.25525647,0.0
-0.680522249993909,-0.00018415794,-0.52430725,-0.05028602,0.0
-0.6798037121111806,-0.00033800800000000005,-1.3411226,0.17932352,0.0
-0.6790011818098147,-1.8034105e-05,0.041851856,0.009367700999999999,0.0
-0.6788493051076205,0.00015372007,1.0576206,-0.015306947,0.0
-0.6776659324696925,-0.00013535298,-0.23252758,0.23230411,0.0
-0.6766397292069135,0.0002508993,2.3679593,0.07764368,0.0
-0.6764260663008723,0.00044284653,1.373573,-0.044744898,0.0
-0.6762648698919529,-8.987822e-05,0.43798950000000003,0.43301239999999996,0.0
-0.6759843582253249,0.00025793813999999997,1.3446658999999999,0.18959609,0.0
-0.675307126203269,-0.00023523395,-0.74451315,0.2095674,0.0
-0.6746623405675909,-0.00035596924,-1.2713453000000001,-0.06963267,0.0
-0.6732508077020485,0.00029267897,1.4483374,0.43513876,0.0
-0.6720142782183525,0.00016021472,0.7589186,0.09278782,0.0
-0.6718866787768878,-6.7075714e-05,-0.21850032,0.08081268,0.0
-0.6718396200108292,-0.00024552585,-0.94768643,0.043690945999999994,0.0
-0.6714384123892001,0.00020340634999999998,1.6279261,0.22774763,0.0
-0.6708032916345708,0.00014119006,0.7655919,0.2136899,0.0
-0.6703185518267349,-0.00026456962000000005,-0.69248563,0.06585109,0.0
-0.6699319565847865,5.752955600000001e-05,0.54200006,0.042930707,0.0
-0.6688279740411871,0.00037017747000000004,1.8094669999999997,0.28213033,0.0
-0.6675021594658981,1.3631792e-05,-0.23258676,-0.0014968528,0.0
-0.6673821538595432,0.00025296243,1.1898261,0.22590165,0.0
-0.667246155176215,0.00020492790000000002,1.0396306999999998,0.07542346400000001,0.0
-0.666886023299043,0.00028923585,1.238821,0.09356646,0.0
-0.6662920933469783,-0.00014867162,-0.15063721,0.018494055,0.0
-0.6659686650061698,-5.0771940000000004e-05,0.3893078,0.12317225,0.0
-0.665462294274082,0.00032667675999999997,1.1695358999999999,0.12784547,0.0
-0.6631110818427681,6.953292e-05,0.4240561,0.033704344,0.0
-0.6626456717970297,0.00015424553,0.88807064,0.12701377,0.0
-0.6623254650832375,-1.0591549e-05,-0.2087479,-0.024786822000000003,0.0
-0.6617735313404915,0.00046600626,1.0926616000000002,0.017627012,0.0
-0.6616130252802184,-0.0001073565,-0.37764770000000003,0.014513435,0.0
-0.6609852682444832,0.0004429686,2.2832894,0.12835486,0.0
-0.659962861899259,-1.0101972e-05,0.4677441,0.014255228,0.0
-0.6587134459074981,-6.500055999999999e-05,0.019954368,0.098211534,0.0
-0.6580382849313811,7.800395e-05,0.9394783000000001,0.0687802,0.0
-0.6577584636133995,0.00016538212,0.9545667999999999,0.18102072,0.0
-0.6572516326488809,5.680172e-05,0.7169795999999999,0.086540125,0.0
-0.6572479507894338,7.765053000000001e-05,0.11294303,0.13665497,0.0
-0.6565009935540977,-0.00036187,-1.2363788,0.11223773,0.0
-0.6555194328371152,7.4077194e-05,0.66286314,0.0036938284000000003,0.0
-0.6543092516600877,0.00037506961999999997,2.1397984,0.17846984,0.0
-0.653423994579269,-9.162123e-05,0.0041643325,-0.034376614,0.0
-0.6531839833665596,-6.179907400000001e-06,0.13642449999999998,0.33873323,0.0
-0.6528839118216185,0.0004696028,1.9530891,0.33207116,0.0
-0.6527143161708353,9.8704e-05,0.35361156,0.026194101,0.0
-0.652009470202926,-0.00012559611,-0.7191831999999999,0.15923214,0.0
-0.6512588311081429,0.00040555108,1.9763585,-0.020654791999999998,0.0
-0.6510689852304004,-0.00016695645,-0.33652407,0.0098891165,0.0
-0.6498982689843218,8.366605499999999e-05,1.184666,0.34910893,0.0
-0.6488030308569089,7.106477e-05,1.0887524,0.18183513,0.0
-0.6486022544589329,2.7919641e-05,0.47501132,0.080425695,0.0
-0.6485098627984316,7.043022e-05,0.646035,0.24738389,0.0
-0.6481740081819891,7.0284266e-05,0.81231534,0.10273779,0.0
-0.6475105831328598,-3.48616e-05,0.23545401,0.26363572,0.0
-0.6469184941105186,-0.00020400831999999998,-0.8731245999999999,-0.025399458,0.0
-0.6466114040210067,-0.0002615971,-0.5182253,-0.021543374,0.0
-0.6454804978801999,0.00017172423,1.3611799999999998,0.33488470000000004,0.0
-0.6441753937643013,-0.0002336999,0.37147188,0.10067469999999999,0.0
-0.6441299458117509,0.00012246553999999994,1.1632603000000001,0.054749426,0.0
-0.6440135070067354,-0.00011024138,-0.5814313,0.1954888,0.0
-0.6436264515323562,3.8338334e-05,0.1130272,0.09845602,0.0
-0.6430043323438994,-6.5386586e-05,0.17366382,0.17261514,0.0
-0.6425724042075083,-0.00051975535,-1.7315228999999999,0.036141652999999996,0.0
-0.6410562835220461,-0.00065293297,-2.0652369999999998,0.13472582,0.0
-0.6397428952223911,0.000296678,0.88500255,0.018754791,0.0
-0.6395415435338765,-0.00035120687000000017,-1.6464592,0.21194004,0.0
-0.6394180861842901,5.4972883000000004e-05,0.7276997,0.18408857,0.0
-0.639071185989506,0.00021440652000000008,0.4924942,0.062732846,0.0
