# frame, 2d, 3d
-3.490658503988658401e-01 9.495750000000000579e-01 9.481374999999999664e-01
-3.279103443140861662e-01 9.476375000000000215e-01 9.470250000000000057e-01
-3.067548382293063813e-01 9.465000000000001190e-01 9.456375000000000197e-01
-2.855993321445265964e-01 9.453249999999999709e-01 9.446750000000000425e-01
-2.644438260597469226e-01 9.445375000000000298e-01 9.436749999999999305e-01
-2.432883199749671377e-01 9.435875000000000234e-01 9.432624999999998927e-01
-2.221328138901873528e-01 9.421625000000001249e-01 9.424999999999998934e-01
-2.009773078054075679e-01 9.413249999999999673e-01 9.419124999999999304e-01
-1.798218017206278940e-01 9.407375000000001153e-01 9.407500000000000862e-01
-1.586662956358481091e-01 9.395750000000000490e-01 9.400375000000000814e-01
-1.375107895510683242e-01 9.390124999999999167e-01 9.385749999999999371e-01
-1.163552834662886504e-01 9.385999999999999899e-01 9.380375000000000796e-01
-9.519977738150886548e-02 9.377624999999999433e-01 9.373000000000000220e-01
-7.404427129672908059e-02 9.370874999999999622e-01 9.371749999999999803e-01
-5.288876521194940672e-02 9.367375000000000007e-01 9.374249999999999527e-01
-3.173325912716973285e-02 9.360500000000000487e-01 9.365250000000000519e-01
-1.057775304238983693e-02 9.362875000000000503e-01 9.358999999999998431e-01
1.057775304238983693e-02 9.367125000000000590e-01 9.362375000000000558e-01
3.173325912716973285e-02 9.372749999999999693e-01 9.361500000000000377e-01
5.288876521194940672e-02 9.374249999999999527e-01 9.358999999999998431e-01
7.404427129672908059e-02 9.373374999999999346e-01 9.364249999999999519e-01
9.519977738150897650e-02 9.372374999999999456e-01 9.370250000000001078e-01
1.163552834662886504e-01 9.376250000000000417e-01 9.372750000000000803e-01
1.375107895510683242e-01 9.386499999999998733e-01 9.377125000000000599e-01
1.586662956358482202e-01 9.395375000000000254e-01 9.386500000000002064e-01
1.798218017206278940e-01 9.407125000000000625e-01 9.393499999999999073e-01
2.009773078054075679e-01 9.417125000000000634e-01 9.394374999999999254e-01
2.221328138901874638e-01 9.431000000000000494e-01 9.407499999999999751e-01
2.432883199749671377e-01 9.430250000000001132e-01 9.415625000000000799e-01
2.644438260597468116e-01 9.436250000000000471e-01 9.423874999999999336e-01
2.855993321445267075e-01 9.448250000000000259e-01 9.438499999999999668e-01
3.067548382293063813e-01 9.468124999999999458e-01 9.450625000000000275e-01
3.279103443140860552e-01 9.477124999999999577e-01 9.465249999999999497e-01
3.490658503988659511e-01 9.500874999999999737e-01 9.473749999999999671e-01
3.702213564836456250e-01 9.516125000000000833e-01 9.489499999999999602e-01
3.913768625684252989e-01 9.530875000000000874e-01 9.502749999999999808e-01
4.125323686532051948e-01 9.556624999999999703e-01 9.524125000000001062e-01
4.336878747379848686e-01 9.576624999999998611e-01 9.550374999999999837e-01
4.548433808227645425e-01 9.597124999999999684e-01 9.570500000000000673e-01
4.759988869075444384e-01 9.626624999999999766e-01 9.591624999999999179e-01
4.971543929923241123e-01 9.656000000000000139e-01 9.618875000000000064e-01
5.183098990771037862e-01 9.686124999999999874e-01 9.649625000000001673e-01
5.394654051618836821e-01 9.720749999999999114e-01 9.686749999999999527e-01
5.606209112466633560e-01 9.760625000000000551e-01 9.726624999999999854e-01
5.817764173314430298e-01 9.799875000000000114e-01 9.769249999999999323e-01
6.029319234162229257e-01 9.835874999999999480e-01 9.811125000000000540e-01
6.240874295010025996e-01 9.871625000000000538e-01 9.844124999999999126e-01
6.452429355857824955e-01 9.906000000000000361e-01 9.879999999999999893e-01
6.663984416705621694e-01 9.933500000000000663e-01 9.912500000000000755e-01
6.875539477553418433e-01 9.962249999999999162e-01 9.940499999999998781e-01
7.087094538401217392e-01 9.979375000000000329e-01 9.964000000000000634e-01
7.298649599249014130e-01 9.990750000000000464e-01 9.981500000000000927e-01
7.510204660096810869e-01 9.998499999999999055e-01 9.993250000000000188e-01
7.721759720944609828e-01 1.000000000000000000e+00 9.999000000000000110e-01
7.933314781792406567e-01 1.000000000000000000e+00 1.000000000000000000e+00
8.144869842640203306e-01 1.000000000000000000e+00 1.000000000000000000e+00
8.356424903488002265e-01 1.000000000000000000e+00 1.000000000000000000e+00
8.567979964335799004e-01 1.000000000000000000e+00 1.000000000000000000e+00
8.779535025183595742e-01 1.000000000000000000e+00 1.000000000000000000e+00
8.991090086031394701e-01 1.000000000000000000e+00 1.000000000000000000e+00
9.202645146879191440e-01 1.000000000000000000e+00 1.000000000000000000e+00
9.414200207726988179e-01 1.000000000000000000e+00 1.000000000000000000e+00
9.625755268574784917e-01 1.000000000000000000e+00 1.000000000000000000e+00
9.837310329422581656e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.004886539027038284e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.026042045111817957e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.047197551196597631e+00 1.000000000000000000e+00 1.000000000000000000e+00
