,frm_2,lc_2,frm_4,lc_4,frm_8,lc_8,frm_16,lc_16,frm_32,lc_32,frm_64,lc_64
327,0.08514396826392101,0.7480555555555556,0.044987734464031814,0.7483333333333334,0.02283647646100795,0.7488888888888889,0.011462552753848596,0.7488888888888889,0.00573686423594242,0.7486111111111112,0.0028691321339773847,0.7486111111111112
328,0.08824011256442721,0.7486111111111111,0.046623652080905686,0.7491666666666668,0.023666893786862764,0.7483333333333333,0.01187937285398856,0.7486111111111111,0.005945477480885773,0.7486111111111111,0.0029734642115765604,0.7486111111111111
329,0.09133625686493341,0.7488888888888889,0.04825956969777956,0.7488888888888889,0.024497311112717635,0.7486111111111111,0.012296192954128496,0.7486111111111111,0.006154090725829141,0.7486111111111111,0.003077796289175736,0.7486111111111111
330,0.0944324011654396,0.7483333333333334,0.04989548731465343,0.7486111111111111,0.02532772843857245,0.7491666666666666,0.01271301305426846,0.7491666666666665,0.006362703970772508,0.7491666666666665,0.003182128366774912,0.7491666666666665
331,0.0975285454659458,0.7491666666666666,0.051531404931527414,0.7491666666666665,0.026158145764427265,0.748888888888889,0.013129833154408396,0.7483333333333334,0.006571317215715862,0.7483333333333334,0.0032864604443740945,0.7483333333333334
332,0.10062468976645222,0.7486111111111112,0.053167322548401286,0.7486111111111111,0.026988563090282136,0.75,0.013546653254548333,0.7499999999999999,0.0067799304606592295,0.7499999999999999,0.0033907925219732703,0.7499999999999999
333,0.10372083406695842,0.7491666666666665,0.05480324016527516,0.7505555555555554,0.02781898041613695,0.7502777777777778,0.013963473354688297,0.7497222222222222,0.006988543705602583,0.7500000000000001,0.003495124599572446,0.7500000000000001
334,0.10681697836746462,0.7491666666666666,0.05643915778214903,0.7497222222222223,0.028649397741991822,0.7505555555555556,0.014380293454828233,0.7505555555555556,0.007197156950545951,0.7505555555555556,0.0035994566771716217,0.7505555555555556
335,0.10991312266797082,0.7505555555555555,0.0580750753990229,0.7505555555555556,0.029479815067846638,0.7505555555555554,0.014797113554968197,0.7505555555555554,0.007405770195489304,0.7508333333333332,0.0037037887547708044,0.7508333333333332
336,0.11300926696847702,0.7494444444444446,0.059710993015896774,0.7502777777777777,0.030310232393701453,0.7488888888888888,0.015213933655108133,0.7494444444444445,0.007614383440432672,0.7494444444444445,0.00380812083236998,0.7494444444444445
