phase,tr3.77,mod3.77,res3.77,tr4.93,mod4.93,res4.93,tr7.43,mod7.43,res7.43,tr12.81,mod12.81,res12.81,tr24.37,mod24.37,res24.37,tr49.07,mod49.07,res49.07,tr100.52,mod100.52,res100.52,tr198.21,mod198.21,res198.21,tr331.42,mod331.42,res331.42,tr426.86,mod426.86,res426.86
-0.3333333333333333,0.0,0.017640523459676594,-0.006285895076881242,0.0,0.008188005670952014,-0.002917654039811346,0.0,0.003800535569184804,-0.001354255041153385,0.0,0.0017640523459676594,-0.0006285895076881154,0.0,0.000818800567095268,-0.0002917654039811701,0.0,0.0003800535569185026,-0.0001354255041153163,0.0,0.00017640523459672153,-6.28589507687849e-05,0.0,8.18800567095046e-05,-2.9176540398090368e-05,0.0,3.800535569187247e-05,-1.3542550411527188e-05,0.0,1.764052345976097e-05,-6.285895076896253e-06
-0.3319973279893119,0.0,0.004001572083672134,-0.010767681475284174,0.0,0.0018573652300468702,-0.00499791500995781,0.0,0.0008621125711727462,-0.002319826650156598,0.0,0.00040015720836716895,-0.0010767681475284175,0.0,0.00018573652300468702,-0.0004997915009957943,0.0,8.62112571171636e-05,-0.0002319826650156287,0.0,4.0015720836672486e-05,-0.00010767681475281066,0.0,1.8573652300402088e-05,-4.99791500995439e-05,0.0,8.621125711760769e-06,-2.3198266501545106e-05,0.0,4.001572083689453e-06,-1.076768147529883e-05
-0.3306613226452906,0.0,0.009787379841057486,-0.014502797455584115,0.0,0.004542899298057845,-0.0067316022725986795,0.0,0.002108627065409374,-0.0031245329940816635,0.0,0.0009787379841057486,-0.0014502797455584028,0.0,0.00045428992980589555,-0.0006731602272598725,0.0,0.0002108627065409152,-0.0003124532994081442,0.0,9.787379841053045e-05,-0.0001450279745558003,0.0,4.5428992980545146e-05,-6.731602272593839e-05,0.0,2.1086270654002703e-05,-3.124532994078777e-05,0.0,9.787379841030841e-06,-1.4502797455584471e-05
-0.3293253173012691,0.0,0.022408931992014658,-0.009020137003895966,0.0,0.010401304850732318,-0.004186776719494056,0.0,0.004827858045016065,-0.0019433296070033859,0.0,0.00224089319920151,-0.0009020137003895813,0.0,0.0010401304850731208,-0.0004186776719493857,0.0,0.00048278580450156205,-0.00019433296070030525,0.0,0.00022408931992012882,-9.020137003892258e-05,0.0,0.00010401304850726767,-4.186776719490304e-05,0.0,4.827858045008959e-05,-1.9433296069992777e-05,0.0,2.240893199201288e-05,-9.020137003878936e-06
-0.3279893119572478,0.0,0.018675579901499706,-0.010119999422212733,0.0,0.008668436313204353,-0.004697287631431002,0.0,0.004023531719625328,-0.002180287781831747,0.0,0.0018675579901499262,-0.0010119999422212535,0.0,0.0008668436313203909,-0.00046972876314308463,0.0,0.00040235317196257725,-0.0002180287781831547,0.0,0.0001867557990149482,-0.00010119999422211202,0.0,8.668436313197248e-05,-4.6972876314299584e-05,0.0,4.0235317196213316e-05,-2.1802877818277718e-05,0.0,1.8675579901428208e-05,-1.0119999422175673e-05
-0.32665330661322645,0.0,-0.009772778798764148,-0.00785980903740584,0.0,-0.0045361220945711045,-0.0036482001862351513,0.0,-0.002105481366206585,-0.0016933445247212743,0.0,-0.000977277879876448,-0.0007859809037405576,0.0,-0.00045361220945716596,-0.00036482001862347957,0.0,-0.00021054813662069183,-0.0001693344524721141,0.0,-9.772778798766701e-05,-7.859809037404907e-05,0.0,-4.536122094567219e-05,-3.648200186234796e-05,0.0,-2.105481366210249e-05,-1.693344524718032e-05,0.0,-9.772778798766701e-06,-7.85980903736938e-06
-0.32531730126920505,0.0,0.009500884175255964,-0.0031715849354157838,0.0,0.004409919789731598,-0.0014721193221080234,0.0,0.002046903445314552,-0.0006832972607242027,0.0,0.0009500884175255297,-0.00031715849354154726,0.0,0.000440991978973182,-0.00014721193221078901,0.0,0.00020469034453141077,-6.832972607242472e-05,0.0,9.500884175261959e-05,-3.171584935415251e-05,0.0,4.409919789738481e-05,-1.4721193221078897e-05,0.0,2.0469034453185486e-05,-6.8329726072180465e-06,0.0,9.500884175173141e-06,-3.1715849353686206e-06
-0.3239812959251836,0.0,-0.0015135720829769772,-0.00025766595899256984,0.0,-0.0007025379279214095,-0.00011959794380622674,0.0,-0.0003260892201429888,-5.5512448049377364e-05,0.0,-0.00015135720829773103,-2.5766595899257005e-05,0.0,-7.025379279212984e-05,-1.1959794380622668e-05,0.0,-3.260892201428778e-05,-5.551244804924414e-06,0.0,-1.5135720829784205e-05,-2.5766595899368024e-06,0.0,-7.025379279212984e-06,-1.1959794380844714e-06,0.0,-3.260892201484289e-06,-5.551244804946618e-07,0.0,-1.513572083000625e-06,-2.5766595894705087e-07
-0.3226452905811623,0.0,-0.0010321885179356283,-0.0025003088610671353,0.0,-0.0004790994699033213,-0.0011605405690112702,0.0,-0.00022237827496929263,-0.0005386752146076867,0.0,-0.00010321885179354062,-0.0002500308861067113,0.0,-4.790994699033213e-05,-0.00011605405690113814,0.0,-2.2237827496884854e-05,-5.386752146074869e-05,0.0,-1.0321885179354062e-05,-2.500308861070888e-05,0.0,-4.790994699077622e-06,-1.1605405690118253e-05,0.0,-2.223782749721792e-06,-5.386752146097073e-06,0.0,-1.0321885179909174e-06,-2.5003088610198175e-06
-0.3213092852371409,0.0,0.00410598501938364,-0.0035086790399418756,0.0,0.0019058294216953708,-0.0016285845452525872,0.0,0.0008846076562512017,-0.000755921983983865,0.0,0.000410598501938475,-0.00035086790399418977,0.0,0.0001905829421695593,-0.00016285845452528315,0.0,8.846076562507577e-05,-7.559219839836652e-05,0.0,4.105985019386971e-05,-3.508679039943008e-05,0.0,1.9058294217000338e-05,-1.628584545250167e-05,0.0,8.846076562596394e-06,-7.559219839836651e-06,0.0,4.105985019320357e-06,-3.508679039931906e-06
