frame,2d,2dstd,3d,3dstd
-0.35885928107137915,1.0,0.0,1.0,0.0
-0.3563409703270186,1.0,0.0,1.0,0.0
-0.3538226595826581,1.0,0.0,1.0,0.0
-0.35130434883829753,1.0,0.0,1.0,0.0
-0.34878603809393693,1.0,0.0,1.0,0.0
-0.3462677273495764,1.0,0.0,1.0,0.0
-0.34374941660521585,1.0,0.0,1.0,0.0
-0.3412311058608553,1.0,0.0,1.0,0.0
-0.3387127951164947,1.0,0.0,1.0,0.0
-0.3361944843721342,1.0,0.0,1.0,0.0
-0.33367617362777363,1.0,0.0,1.0,0.0
-0.3311578628834131,1.0,0.0,1.0,0.0
-0.3286395521390525,1.0,0.0,1.0,0.0
-0.32612124139469195,1.0,0.0,1.0,0.0
-0.3236029306503314,1.0,0.0,1.0,0.0
-0.32108461990597087,1.0,0.0,1.0,0.0
-0.3185663091616103,1.0,0.0,1.0,0.0
-0.31604799841724973,1.0,0.0,1.0,0.0
-0.3135296876728892,1.0,0.0,1.0,0.0
-0.31101137692852865,1.0,0.0,0.9999988888888889,5.9835164523710135e-06
-0.30849306618416805,0.9999899999999997,1.753303759784196e-05,0.9998425925925917,7.650188051876113e-05
-0.3059747554398075,0.9997803703703704,8.533079342926932e-05,0.9995333333333327,0.00013590119867932146
-0.30345644469544697,0.9994785185185182,0.00012144308336244554,0.9991366666666661,0.00018244227905061058
-0.3009381339510864,0.9990425925925928,0.00017950740400683016,0.9986322222222226,0.0002219693005133255
-0.29841982320672583,0.9985262962962965,0.00021195704459093422,0.9980470370370369,0.00025482477370718465
-0.2959015124623653,0.9979370370370371,0.000238070663046835,0.9974074074074072,0.00031062572364833546
-0.29338320171800475,0.9972266666666669,0.00030458228833989614,0.9966922222222222,0.00035983706875387966
-0.29086489097364415,0.9964722222222225,0.00036254416504053773,0.9959374074074072,0.0004170095708342283
-0.2883465802292836,0.9956574074074069,0.0003777786855472001,0.9951040740740749,0.0004421001444502208
-0.28582826948492307,0.9948148148148149,0.00041740264218910505,0.9942240740740742,0.0004756808707624563
-0.28330995874056253,0.993916666666667,0.000455643622923786,0.9933048148148146,0.0004894835048384328
-0.28079164799620193,0.9929670370370369,0.0004651428678558256,0.9923240740740744,0.0005016030543593816
-0.2782733372518414,0.991942962962963,0.0005045042657736529,0.9912940740740737,0.0005272237507945992
-0.27575502650748085,0.9908351851851849,0.0005346594880628123,0.9902503703703706,0.0005836928933009096
-0.2732367157631203,0.9897544444444446,0.0005727656534981499,0.989094814814815,0.0005752489769304519
-0.2707184050187597,0.988623333333334,0.0006153479393154373,0.9879388888888883,0.0005805542264737574
-0.26820009427439917,0.9874751851851852,0.0006166528749430958,0.986798888888889,0.000615829261250507
-0.26568178353003863,0.9862674074074077,0.0006544430820166453,0.9855859259259259,0.000620055309714892
-0.2631634727856781,0.9850703703703703,0.0006925252492512266,0.984377037037037,0.000627077179262425
-0.2606451620413175,0.9838600000000001,0.0006918431278694929,0.9831514814814815,0.0006570070768566956
-0.25812685129695695,0.982595185185185,0.0006990921999121837,0.9819370370370368,0.0006757244753074199
-0.2556085405525964,0.9813759259259257,0.0006842501127038752,0.9806981481481483,0.0006894685932042785
-0.25309022980823587,0.9800988888888889,0.0007446674624485937,0.9794166666666666,0.0007313314426526113
-0.25057191906387527,0.9787977777777779,0.0007832947193004345,0.9781703703703709,0.0007488830274159733
-0.24805360831951473,0.9775144444444442,0.0008374424616313716,0.9768681481481482,0.0007696064588534314
-0.2455352975751542,0.9761851851851849,0.0008938764395391777,0.9755966666666666,0.000781009950775191
-0.24301698683079365,0.9749692592592591,0.0008676380279814,0.9743485185185183,0.0008257007665189026
-0.24049867608643305,0.973765925925926,0.0009073632642324003,0.973070740740741,0.0008492382611156121
-0.2379803653420725,0.9725018518518517,0.0009057479156443597,0.9718540740740739,0.0008629203613709617
-0.23546205459771197,0.9713381481481477,0.0009041544868421678,0.9706151851851849,0.000895974000823069
-0.23294374385335143,0.9701166666666665,0.0009201080183500716,0.969406666666667,0.0009319857997116719
-0.23042543310899083,0.9689500000000003,0.000966452722173999,0.9682759259259263,0.0009560467442698981
