# frame, 2d, 3d
-1.047197551196597631e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.040192885302305914e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.033188219408014419e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.026183553513722702e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.019178887619431206e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.012174221725139489e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.005169555830847994e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.981648899365562766e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.911602240422646704e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.841555581479730641e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.771508922536813468e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.701462263593897406e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.631415604650981344e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.561368945708065281e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.491322286765149219e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.421275627822233156e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.351228968879317094e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.281182309936399921e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.211135650993483859e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.141088992050567796e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.071042333107651734e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.000995674164735671e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.930949015221819609e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.860902356278903547e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.790855697335986374e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.720809038393070312e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.650762379450154249e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.580715720507238187e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.510669061564322124e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.440622402621406062e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.370575743678489999e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.300529084735572827e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.230482425792656764e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.160435766849740702e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.090389107906824639e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.020342448963908577e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.950295790020991404e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.880249131078076452e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.810202472135159280e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.740155813192243217e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.670109154249327155e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.600062495306411092e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.530015836363495030e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.459969177420577857e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.389922518477662905e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.319875859534745732e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.249829200591829670e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.179782541648913607e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.109735882705997545e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.039689223763081483e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.969642564820164310e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.899595905877249358e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.829549246934332185e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.759502587991416123e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.689455929048500060e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.619409270105583998e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.549362611162667935e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.479315952219750763e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.409269293276835811e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.339222634333918638e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.269175975391002575e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.199129316448086513e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.129082657505170451e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.059035998562254388e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.988989339619337215e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.918942680676422263e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.848896021733505091e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.778849362790589028e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.708802703847672966e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.638756044904756903e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.568709385961840841e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.498662727018923668e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.428616068076007606e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.358569409133091543e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.288522750190175481e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.218476091247259419e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.148429432304343356e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.078382773361427294e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.008336114418510121e-01 1.000000000000000000e+00 1.000000000000000000e+00
-4.938289455475594059e-01 1.000000000000000000e+00 1.000000000000000000e+00
-4.868242796532677996e-01 1.000000000000000000e+00 1.000000000000000000e+00
-4.798196137589761934e-01 1.000000000000000000e+00 1.000000000000000000e+00
-4.728149478646845871e-01 1.000000000000000000e+00 1.000000000000000000e+00
-4.658102819703929809e-01 1.000000000000000000e+00 1.000000000000000000e+00
-4.588056160761013746e-01 1.000000000000000000e+00 1.000000000000000000e+00
-4.518009501818096574e-01 1.000000000000000000e+00 1.000000000000000000e+00
