,frm_1.0,lc_1.0,frm_1.5,lc_1.5,frm_2.0,lc_2.0,frm_2.5,lc_2.5,frm_3.0,lc_3.0,frm_3.5,lc_3.5
0,-0.9272952180016121,1.0,-0.9272952180016121,1.0,-0.9272952180016121,1.0,-0.9272952180016121,1.0,-0.9272952180016121,1.0,-0.9272952180016121,1.0
1,-0.9241990737011059,1.0,-0.9241990737011059,1.0,-0.9241990737011059,1.0,-0.9241990737011059,1.0,-0.9241990737011059,1.0,-0.9241990737011059,1.0
2,-0.9211029294005997,1.0,-0.9211029294005997,1.0,-0.9211029294005997,1.0,-0.9211029294005997,1.0,-0.9211029294005997,1.0,-0.9211029294005997,1.0
3,-0.9180067851000934,1.0,-0.9180067851000934,1.0,-0.9180067851000934,1.0,-0.9180067851000934,1.0,-0.9180067851000934,1.0,-0.9180067851000934,1.0
4,-0.9149106407995872,1.0,-0.9149106407995872,1.0,-0.9149106407995872,1.0,-0.9149106407995872,1.0,-0.9149106407995872,1.0,-0.9149106407995872,1.0
5,-0.911814496499081,1.0,-0.911814496499081,1.0,-0.911814496499081,1.0,-0.911814496499081,1.0,-0.911814496499081,1.0,-0.911814496499081,1.0
6,-0.9087183521985748,1.0,-0.9087183521985748,1.0,-0.9087183521985748,1.0,-0.9087183521985748,1.0,-0.9087183521985748,1.0,-0.9087183521985748,1.0
7,-0.9056222078980686,1.0,-0.9056222078980686,1.0,-0.9056222078980686,1.0,-0.9056222078980686,1.0,-0.9056222078980686,1.0,-0.9056222078980686,1.0
8,-0.9025260635975624,1.0,-0.9025260635975624,1.0,-0.9025260635975624,1.0,-0.9025260635975624,1.0,-0.9025260635975624,1.0,-0.9025260635975624,1.0
9,-0.8994299192970561,1.0,-0.8994299192970561,1.0,-0.8994299192970561,1.0,-0.8994299192970561,1.0,-0.8994299192970561,1.0,-0.8994299192970561,1.0
10,-0.8963337749965499,1.0,-0.8963337749965499,1.0,-0.8963337749965499,1.0,-0.8963337749965499,1.0,-0.8963337749965499,1.0,-0.8963337749965499,1.0
11,-0.8932376306960437,1.0,-0.8932376306960437,1.0,-0.8932376306960437,1.0,-0.8932376306960437,1.0,-0.8932376306960437,1.0,-0.8932376306960437,1.0
12,-0.8901414863955375,1.0,-0.8901414863955375,1.0,-0.8901414863955375,1.0,-0.8901414863955375,1.0,-0.8901414863955375,1.0,-0.8901414863955375,1.0
13,-0.8870453420950313,1.0,-0.8870453420950313,1.0,-0.8870453420950313,1.0,-0.8870453420950313,1.0,-0.8870453420950313,1.0,-0.8870453420950313,1.0
