,frame,flux,std
0,-3.141592653589793,1.0,0.0
1,-3.140807157239352,1.0,0.0
2,-3.1400216608889107,1.0,0.0
3,-3.1392361645384694,1.0,0.0
4,-3.138450668188028,1.0,0.0
5,-3.137665171837587,1.0,0.0
6,-3.1368796754871457,1.0,0.0
7,-3.1360941791367045,1.0,0.0
8,-3.1353086827862633,1.0,0.0
9,-3.1345231864358216,1.0,0.0
10,-3.1337376900853804,1.0,0.0
11,-3.132952193734939,1.0,0.0
12,-3.132166697384498,1.0,0.0
13,-3.1313812010340567,1.0,0.0
14,-3.1305957046836155,1.0,0.0
15,-3.1298102083331742,1.0,0.0
16,-3.129024711982733,1.0,0.0
17,-3.128239215632292,1.0,0.0
18,-3.1274537192818506,1.0,0.0
19,-3.1266682229314093,1.0,0.0
20,-3.125882726580968,1.0,0.0
21,-3.125097230230527,1.0,0.0
22,-3.1243117338800857,1.0,0.0
23,-3.1235262375296444,1.0,0.0
24,-3.122740741179203,1.0,0.0
25,-3.121955244828762,1.0,0.0
26,-3.1211697484783207,1.0,0.0
27,-3.120384252127879,1.0,0.0
28,-3.119598755777438,1.0,0.0
29,-3.1188132594269966,1.0,0.0
30,-3.1180277630765554,1.0,0.0
31,-3.117242266726114,1.0,0.0
32,-3.116456770375673,1.0,0.0
33,-3.1156712740252317,1.0,0.0
34,-3.1148857776747905,1.0,0.0
35,-3.1141002813243492,1.0,0.0
36,-3.113314784973908,1.0,0.0
37,-3.112529288623467,1.0,0.0
38,-3.1117437922730256,1.0,0.0
39,-3.1109582959225843,1.0,0.0
40,-3.110172799572143,1.0,0.0
41,-3.109387303221702,1.0,0.0
42,-3.1086018068712606,1.0,0.0
43,-3.1078163105208194,1.0,0.0
44,-3.107030814170378,1.0,0.0
45,-3.1062453178199365,1.0,0.0
46,-3.1054598214694953,1.0,0.0
47,-3.104674325119054,1.0,0.0
48,-3.103888828768613,1.0,0.0
49,-3.1031033324181716,1.0,0.0
50,-3.1023178360677304,1.0,0.0
51,-3.101532339717289,1.0,0.0
52,-3.100746843366848,1.0,0.0
53,-3.0999613470164067,1.0,0.0
54,-3.0991758506659655,1.0,0.0
55,-3.0983903543155242,1.0,0.0
56,-3.097604857965083,1.0,0.0
57,-3.0968193616146418,1.0,0.0
58,-3.0960338652642005,1.0,0.0
59,-3.0952483689137593,1.0,0.0
60,-3.094462872563318,1.0,0.0
61,-3.093677376212877,1.0,0.0
62,-3.092891879862435,1.0,0.0
63,-3.092106383511994,1.0,0.0
64,-3.0913208871615527,1.0,0.0
65,-3.0905353908111115,1.0,0.0
66,-3.0897498944606703,1.0,0.0
67,-3.088964398110229,1.0,0.0
68,-3.088178901759788,1.0,0.0
69,-3.0873934054093466,1.0,0.0
70,-3.0866079090589054,1.0,0.0
71,-3.085822412708464,1.0,0.0
72,-3.085036916358023,1.0,0.0
73,-3.0842514200075817,1.0,0.0
74,-3.0834659236571405,1.0,0.0
75,-3.0826804273066992,1.0,0.0
76,-3.081894930956258,1.0,0.0
77,-3.0811094346058168,1.0,0.0
78,-3.0803239382553755,1.0,0.0
79,-3.0795384419049343,1.0,0.0
80,-3.0787529455544926,1.0,0.0
81,-3.0779674492040514,1.0,0.0
82,-3.07718195285361,1.0,0.0
83,-3.076396456503169,1.0,0.0
84,-3.0756109601527277,1.0,0.0
85,-3.0748254638022865,1.0,0.0
86,-3.0740399674518453,1.0,0.0
87,-3.073254471101404,1.0,0.0
88,-3.072468974750963,1.0,0.0
89,-3.0716834784005216,1.0,0.0
90,-3.0708979820500804,1.0,0.0
91,-3.070112485699639,1.0,0.0
92,-3.069326989349198,1.0,0.0
93,-3.0685414929987567,1.0,0.0
94,-3.0677559966483154,1.0,0.0
95,-3.066970500297874,1.0,0.0
96,-3.066185003947433,1.0,0.0
97,-3.0653995075969913,1.0,0.0
98,-3.06461401124655,1.0,0.0
99,-3.063828514896109,1.0,0.0
100,-3.0630430185456676,1.0,0.0
101,-3.0622575221952264,1.0,0.0
102,-3.061472025844785,1.0,0.0
103,-3.060686529494344,1.0,0.0
104,-3.0599010331439027,1.0,0.0
105,-3.0591155367934615,1.0,0.0
106,-3.0583300404430203,1.0,0.0
107,-3.057544544092579,1.0,0.0
108,-3.056759047742138,1.0,0.0
109,-3.0559735513916966,1.0,0.0
110,-3.0551880550412553,1.0,0.0
111,-3.054402558690814,1.0,0.0
112,-3.053617062340373,1.0,0.0
113,-3.0528315659899317,1.0,0.0
114,-3.0520460696394904,1.0,0.0
115,-3.051260573289049,1.0,0.0
116,-3.0504750769386075,1.0,0.0
117,-3.0496895805881663,1.0,0.0
118,-3.048904084237725,1.0,0.0
119,-3.048118587887284,1.0,0.0
120,-3.0473330915368426,1.0,0.0
121,-3.0465475951864014,1.0,0.0
122,-3.04576209883596,1.0,0.0
123,-3.044976602485519,1.0,0.0
124,-3.0441911061350777,1.0,0.0
125,-3.0434056097846365,1.0,0.0
126,-3.0426201134341953,1.0,0.0
127,-3.041834617083754,1.0,0.0
128,-3.041049120733313,1.0,0.0
129,-3.0402636243828716,1.0,0.0
130,-3.0394781280324303,1.0,0.0
131,-3.038692631681989,1.0,0.0
132,-3.037907135331548,1.0,0.0
133,-3.037121638981106,1.0,0.0
134,-3.036336142630665,1.0,0.0
135,-3.0355506462802238,1.0,0.0
136,-3.0347651499297825,1.0,0.0
137,-3.0339796535793413,1.0,0.0
138,-3.0331941572289,1.0,0.0
139,-3.032408660878459,1.0,0.0
140,-3.0316231645280176,1.0,0.0
141,-3.0308376681775764,1.0,0.0
142,-3.030052171827135,1.0,0.0
143,-3.029266675476694,1.0,0.0
144,-3.0284811791262527,1.0,0.0
145,-3.0276956827758115,1.0,0.0
146,-3.0269101864253702,1.0,0.0
147,-3.026124690074929,1.0,0.0
148,-3.025339193724488,1.0,0.0
149,-3.0245536973740466,1.0,0.0
150,-3.0237682010236053,1.0,0.0
151,-3.0229827046731637,1.0,0.0
152,-3.0221972083227224,1.0,0.0
153,-3.021411711972281,1.0,0.0
154,-3.02062621562184,0.9999243055555543,3.830287638684399e-05
155,-3.0198407192713987,0.9999287499999986,3.54183006158997e-05
156,-3.0190552229209575,1.0,0.0
157,-3.0182697265705163,1.0,0.0
158,-3.017484230220075,1.0,0.0
159,-3.016698733869634,1.0,0.0
160,-3.0159132375191926,1.0,0.0
161,-3.0151277411687514,1.0,0.0
162,-3.01434224481831,1.0,0.0
163,-3.013556748467869,1.0,0.0
164,-3.0127712521174277,1.0,0.0
165,-3.0119857557669865,1.0,0.0
166,-3.0112002594165452,1.0,0.0
167,-3.010414763066104,1.0,0.0
168,-3.0096292667156623,1.0,0.0
169,-3.008843770365221,1.0,0.0
170,-3.00805827401478,1.0,0.0
171,-3.0072727776643386,1.0,0.0
172,-3.0064872813138974,1.0,0.0
173,-3.005701784963456,1.0,0.0
174,-3.004916288613015,1.0,0.0
175,-3.0041307922625737,1.0,0.0
176,-3.0033452959121325,1.0,0.0
177,-3.0025597995616913,1.0,0.0
178,-3.00177430321125,1.0,0.0
179,-3.000988806860809,1.0,0.0
180,-3.0002033105103676,1.0,0.0
181,-2.9994178141599264,1.0,0.0
182,-2.998632317809485,1.0,0.0
183,-2.997846821459044,1.0,0.0
184,-2.9970613251086027,1.0,0.0
185,-2.9962758287581615,1.0,0.0
186,-2.99549033240772,1.0,0.0
187,-2.9947048360572786,1.0,0.0
188,-2.9939193397068373,1.0,0.0
189,-2.993133843356396,1.0,0.0
190,-2.992348347005955,1.0,0.0
191,-2.9915628506555136,1.0,0.0
192,-2.9907773543050724,1.0,0.0
193,-2.989991857954631,1.0,0.0
194,-2.98920636160419,1.0,0.0
195,-2.9884208652537487,1.0,0.0
196,-2.9876353689033075,1.0,0.0
197,-2.9868498725528663,1.0,0.0
