# frame, 2d, 3d
-1.047197551196597631e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.043701065215974610e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.040204579235351590e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.036708093254728569e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.033211607274105548e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.029715121293482527e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.026218635312859506e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.022722149332236485e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.019225663351613465e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.015729177370990444e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.012232691390367423e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.008736205409744402e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.005239719429121159e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.001743233448498138e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.982467474678752284e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.947502614872522075e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.912537755066291867e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.877572895260061658e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.842608035453830340e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.807643175647600131e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.772678315841369923e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.737713456035139714e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.702748596228909506e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.667783736422679297e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.632818876616449089e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.597854016810218880e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.562889157003988672e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.527924297197758463e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.492959437391528255e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.457994577585298046e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.423029717779066727e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.388064857972836519e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.353099998166606310e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.318135138360376102e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.283170278554145893e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.248205418747915685e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.213240558941685476e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.178275699135455268e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.143310839329225059e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.108345979522994851e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.073381119716763532e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.038416259910533324e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.003451400104303115e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.968486540298072907e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.933521680491842698e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.898556820685612490e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.863591960879382281e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.828627101073152073e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.793662241266921864e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.758697381460691656e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.723732521654461447e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.688767661848231239e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.653802802042001030e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.618837942235770821e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.583873082429539503e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.548908222623309294e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.513943362817079086e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.478978503010848877e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.444013643204618669e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.409048783398388460e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.374083923592158252e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.339119063785928043e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.304154203979697835e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.269189344173466516e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.234224484367236307e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.199259624561006099e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.164294764754775890e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.129329904948545682e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.094365045142315473e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.059400185336085265e-01 1.000000000000000000e+00 1.000000000000000000e+00
-8.024435325529855056e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.989470465723624848e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.954505605917394639e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.919540746111164431e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.884575886304934222e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.849611026498704014e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.814646166692473805e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.779681306886243597e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.744716447080013388e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.709751587273782070e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.674786727467551861e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.639821867661321653e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.604857007855091444e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.569892148048861236e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.534927288242631027e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.499962428436399708e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.464997568630169500e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.430032708823939291e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.395067849017709083e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.360102989211478874e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.325138129405248666e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.290173269599018457e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.255208409792788249e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.220243549986558040e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.185278690180327832e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.150313830374097623e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.115348970567867415e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.080384110761637206e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.045419250955406998e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.010454391149176789e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.975489531342946581e-01 1.000000000000000000e+00 1.000000000000000000e+00
