,frm_0.6,lc_0.6,frm_0.8,lc_0.8,frm_1.0,lc_1.0,frm_1.2,lc_1.2,frm_1.4,lc_1.4,frm_1.6,lc_1.6
0,-0.9272952180016121,1.0,-0.9272952180016121,1.0,-0.9272952180016121,1.0,-0.9272952180016121,1.0,-0.9272952180016121,0.9904638888888889,-0.9272952180016121,0.9691305555555557
1,-0.9241990737011059,1.0,-0.9241990737011059,1.0,-0.9241990737011059,1.0,-0.9241990737011059,1.0,-0.9241990737011059,0.9898611111111111,-0.9241990737011059,0.9682833333333334
2,-0.9211029294005997,1.0,-0.9211029294005997,1.0,-0.9211029294005997,1.0,-0.9211029294005997,1.0,-0.9211029294005997,0.989275,-0.9211029294005997,0.9674138888888891
3,-0.9180067851000934,1.0,-0.9180067851000934,1.0,-0.9180067851000934,1.0,-0.9180067851000934,1.0,-0.9180067851000934,0.9885444444444447,-0.9180067851000934,0.9664055555555557
4,-0.9149106407995872,1.0,-0.9149106407995872,1.0,-0.9149106407995872,1.0,-0.9149106407995872,0.9999361111111111,-0.9149106407995872,0.987891666666667,-0.9149106407995872,0.965536111111111
5,-0.911814496499081,1.0,-0.911814496499081,1.0,-0.911814496499081,1.0,-0.911814496499081,0.9997555555555557,-0.911814496499081,0.9871027777777779,-0.911814496499081,0.9645416666666665
6,-0.9087183521985748,1.0,-0.9087183521985748,1.0,-0.9087183521985748,1.0,-0.9087183521985748,0.9996111111111112,-0.9087183521985748,0.9863777777777778,-0.9087183521985748,0.9635833333333333
7,-0.9056222078980686,1.0,-0.9056222078980686,1.0,-0.9056222078980686,1.0,-0.9056222078980686,0.9993833333333332,-0.9056222078980686,0.9856833333333334,-0.9056222078980686,0.9625499999999998
8,-0.9025260635975624,1.0,-0.9025260635975624,1.0,-0.9025260635975624,1.0,-0.9025260635975624,0.9991444444444443,-0.9025260635975624,0.9849888888888889,-0.9025260635975624,0.9615527777777779
9,-0.8994299192970561,1.0,-0.8994299192970561,1.0,-0.8994299192970561,1.0,-0.8994299192970561,0.9988305555555558,-0.8994299192970561,0.9841944444444444,-0.8994299192970561,0.960497222222222
10,-0.8963337749965499,1.0,-0.8963337749965499,1.0,-0.8963337749965499,1.0,-0.8963337749965499,0.9985166666666667,-0.8963337749965499,0.9833861111111113,-0.8963337749965499,0.9594472222222223
11,-0.8932376306960437,1.0,-0.8932376306960437,1.0,-0.8932376306960437,1.0,-0.8932376306960437,0.9981583333333334,-0.8932376306960437,0.9826166666666665,-0.8932376306960437,0.9583166666666667
12,-0.8901414863955375,1.0,-0.8901414863955375,1.0,-0.8901414863955375,1.0,-0.8901414863955375,0.9978083333333332,-0.8901414863955375,0.9817861111111112,-0.8901414863955375,0.957261111111111
13,-0.8870453420950313,1.0,-0.8870453420950313,1.0,-0.8870453420950313,1.0,-0.8870453420950313,0.9974222222222223,-0.8870453420950313,0.9809805555555555,-0.8870453420950313,0.9561277777777778
14,-0.8839491977945251,1.0,-0.8839491977945251,1.0,-0.8839491977945251,1.0,-0.8839491977945251,0.9969833333333332,-0.8839491977945251,0.9801722222222222,-0.8839491977945251,0.9550305555555556
15,-0.8808530534940188,1.0,-0.8808530534940188,1.0,-0.8808530534940188,1.0,-0.8808530534940188,0.9964777777777777,-0.8808530534940188,0.979302777777778,-0.8808530534940188,0.9539249999999999
16,-0.8777569091935126,1.0,-0.8777569091935126,1.0,-0.8777569091935126,1.0,-0.8777569091935126,0.9960722222222221,-0.8777569091935126,0.9784527777777777,-0.8777569091935126,0.9527444444444443
17,-0.8746607648930064,1.0,-0.8746607648930064,1.0,-0.8746607648930064,1.0,-0.8746607648930064,0.9956333333333333,-0.8746607648930064,0.9776500000000001,-0.8746607648930064,0.9517194444444441
18,-0.8715646205925002,1.0,-0.8715646205925002,1.0,-0.8715646205925002,1.0,-0.8715646205925002,0.9951194444444444,-0.8715646205925002,0.9769166666666665,-0.8715646205925002,0.9505888888888889
19,-0.868468476291994,1.0,-0.868468476291994,1.0,-0.868468476291994,1.0,-0.868468476291994,0.9945722222222222,-0.868468476291994,0.9759888888888886,-0.868468476291994,0.949425
20,-0.8653723319914878,1.0,-0.8653723319914878,1.0,-0.8653723319914878,1.0,-0.8653723319914878,0.9940861111111113,-0.8653723319914878,0.9751055555555556,-0.8653723319914878,0.9482944444444443
21,-0.8622761876909815,1.0,-0.8622761876909815,1.0,-0.8622761876909815,1.0,-0.8622761876909815,0.9934999999999997,-0.8622761876909815,0.9742666666666666,-0.8622761876909815,0.9470611111111109
22,-0.8591800433904753,1.0,-0.8591800433904753,1.0,-0.8591800433904753,1.0,-0.8591800433904753,0.9929555555555554,-0.8591800433904753,0.9733444444444443,-0.8591800433904753,0.945911111111111
23,-0.8560838990899691,1.0,-0.8560838990899691,1.0,-0.8560838990899691,1.0,-0.8560838990899691,0.992311111111111,-0.8560838990899691,0.9724083333333332,-0.8560838990899691,0.9445666666666666
24,-0.8529877547894629,1.0,-0.8529877547894629,1.0,-0.8529877547894629,1.0,-0.8529877547894629,0.9917194444444442,-0.8529877547894629,0.9714222222222221,-0.8529877547894629,0.9433777777777779
25,-0.8498916104889567,1.0,-0.8498916104889567,1.0,-0.8498916104889567,1.0,-0.8498916104889567,0.9910472222222224,-0.8498916104889567,0.9704694444444443,-0.8498916104889567,0.9421055555555555
26,-0.8467954661884505,1.0,-0.8467954661884505,1.0,-0.8467954661884505,1.0,-0.8467954661884505,0.9903333333333335,-0.8467954661884505,0.969522222222222,-0.8467954661884505,0.9409027777777779
