# frame, 2d, 3d
-1.570796326794896558e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.567651589403915802e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.564506852012935045e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.561362114621954289e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.558217377230973311e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.555072639839992776e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.551927902449012020e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.548783165058031042e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.545638427667050507e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.542493690276069529e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.539348952885088773e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.536204215494108016e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.533059478103127260e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.529914740712146504e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.526770003321165747e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.523625265930184991e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.520480528539204235e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.517335791148223478e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.514191053757242722e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.511046316366261744e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.507901578975281209e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.504756841584300453e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.501612104193319475e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.498467366802338718e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.495322629411357962e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.492177892020377206e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.489033154629396449e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.485888417238415693e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.482743679847434937e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.479598942456454180e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.476454205065473424e+00 1.000000000000000000e+00 1.000000000000000000e+00
