frame,u1_0_u2_0_b_0,std_u1_0_u2_0_b_0,u1_0_u2_0.2_b_0,std_u1_0_u2_0.2_b_0
-1.0471975511965976,1.0,0.0,1.0,0.0
-1.040192885302306,1.0,0.0,1.0,0.0
-1.0331882194080144,1.0,0.0,1.0,0.0
-1.0261835535137227,1.0,0.0,1.0,0.0
-1.0191788876194312,1.0,0.0,1.0,0.0
-1.0121742217251395,1.0,0.0,1.0,0.0
-1.005169555830848,1.0,0.0,1.0,0.0
-0.9981648899365564,1.0,0.0,1.0,0.0
-0.9911602240422648,1.0,0.0,1.0,0.0
-0.9841555581479732,1.0,0.0,1.0,0.0
-0.9771508922536812,1.0,0.0,1.0,0.0
-0.9701462263593896,1.0,0.0,1.0,0.0
-0.963141560465098,1.0,0.0,1.0,0.0
-0.9561368945708064,1.0,0.0,1.0,0.0
-0.9491322286765148,1.0,0.0,1.0,0.0
-0.9421275627822232,1.0,0.0,1.0,0.0
-0.9351228968879316,1.0,0.0,1.0,0.0
-0.92811823099364,1.0,0.0,1.0,0.0
-0.9211135650993484,1.0,0.0,1.0,0.0
-0.9141088992050568,1.0,0.0,1.0,0.0
-0.9071042333107652,1.0,0.0,1.0,0.0
-0.9000995674164736,1.0,0.0,1.0,0.0
-0.8930949015221821,1.0,0.0,1.0,0.0
-0.8860902356278904,1.0,0.0,1.0,0.0
-0.8790855697335986,1.0,0.0,1.0,0.0
-0.872080903839307,1.0,0.0,1.0,0.0
-0.8650762379450154,1.0,0.0,1.0,0.0
-0.8580715720507238,1.0,0.0,1.0,0.0
-0.8510669061564322,1.0,0.0,1.0,0.0
-0.8440622402621406,1.0,0.0,1.0,0.0
-0.8370575743678491,1.0,0.0,1.0,0.0
-0.8300529084735573,1.0,0.0,1.0,0.0
-0.8230482425792657,1.0,0.0,1.0,0.0
-0.8160435766849741,1.0,0.0,1.0,0.0
-0.8090389107906825,1.0,0.0,1.0,0.0
-0.8020342448963909,1.0,0.0,1.0,0.0
-0.7950295790020991,1.0,0.0,1.0,0.0
-0.7880249131078076,1.0,0.0,1.0,0.0
-0.7810202472135159,1.0,0.0,1.0,0.0
-0.7740155813192243,1.0,0.0,1.0,0.0
-0.7670109154249327,1.0,0.0,1.0,0.0
-0.7600062495306411,1.0,0.0,1.0,0.0
-0.7530015836363495,1.0,0.0,1.0,0.0
-0.7459969177420578,1.0,0.0,1.0,0.0
-0.7389922518477663,1.0,0.0,1.0,0.0
-0.7319875859534746,1.0,0.0,1.0,0.0
-0.724982920059183,1.0,0.0,1.0,0.0
-0.7179782541648914,1.0,0.0,1.0,0.0
-0.7109735882705998,0.99965,0.0008231038816577175,0.999775,0.0006319612329882276
-0.7039689223763081,0.99895,0.0013774977313955926,0.999125,0.0012183492931011214
-0.6969642564820164,0.997825,0.0019797411446954394,0.9980499999999999,0.0018967076738390669
-0.6899595905877249,0.9963499999999998,0.0024036430683443827,0.9967750000000001,0.0023768413914268677
-0.6829549246934332,0.9942499999999996,0.003183944094986597,0.9950750000000002,0.0028274325809822605
-0.6759502587991416,0.992625,0.003931841171766736,0.993275,0.003622757927325537
-0.6689455929048499,0.9905749999999997,0.004125454520413479,0.9914499999999997,0.003911201861320894
-0.6619409270105584,0.9883999999999998,0.004747630988187691,0.9895999999999996,0.004386342439892266
-0.6549362611162668,0.9858499999999998,0.005096812729539908,0.9872000000000002,0.004985980344927168
-0.6479315952219751,0.9833249999999998,0.0053939201885085455,0.9848249999999995,0.00535437904896544
-0.6409269293276836,0.9808,0.00573236425918661,0.9822250000000002,0.005567708235890245
-0.6339222634333919,0.9782749999999998,0.006377646509489222,0.9799749999999999,0.0059957797658019485
-0.6269175975391003,0.975725,0.006736050400642804,0.9770999999999997,0.006670082458260922
-0.6199129316448087,0.9735999999999996,0.006696267617113289,0.97475,0.006872954241081493
-0.612908265750517,0.9704999999999996,0.006946221994724909,0.9726749999999992,0.006549379741624401
-0.6059035998562254,0.9672749999999996,0.0069443772218968705,0.9694500000000004,0.006985520739357954
-0.5988989339619337,0.9641000000000004,0.007313685801290625,0.966175,0.0072676939258612214
-0.5918942680676422,0.960975,0.007873968186372112,0.9630749999999999,0.007224567461101052
-0.5848896021733505,0.9578,0.00809691299199887,0.9597999999999999,0.007678541528180993
-0.5778849362790589,0.95485,0.008311287505555329,0.9566249999999998,0.008041105334467405
-0.5708802703847673,0.951625,0.008729798107631134,0.9535499999999997,0.008449704136832254
-0.5638756044904757,0.947675,0.008569969369840249,0.9502749999999998,0.008524926685901768
-0.5568709385961841,0.944375,0.009607776797990256,0.9464499999999999,0.008774821935515277
-0.5498662727018924,0.941175,0.00951679436575152,0.9432249999999996,0.009589023672929374
-0.5428616068076008,0.9370000000000004,0.009757048734120356,0.9399249999999999,0.009630388102252146
-0.5358569409133092,0.9329749999999996,0.01002493765566646,0.935225,0.009977443309786302
-0.5288522750190175,0.928775,0.010047356617538729,0.9316249999999998,0.009945319250783218
-0.5218476091247259,0.92505,0.010634730838154732,0.9272750000000004,0.010388665698731443
-0.5148429432304343,0.9209250000000002,0.011353165858032704,0.9234499999999997,0.011004430925768006
-0.5078382773361427,0.917225,0.011838470129201644,0.9192250000000003,0.01127605316589096
-0.500833611441851,0.9127250000000002,0.012145961262905448,0.91555,0.011945605886684849
-0.4938289455475594,0.9088000000000006,0.012310970717209912,0.9110750000000003,0.012243135831967225
-0.4868242796532678,0.90465,0.01293358032410206,0.9067500000000001,0.01275294083731278
-0.4798196137589762,0.9005750000000006,0.013675502732989384,0.9025499999999997,0.013345317530879515
